x	y
567	321.9477291
568	320.9405443
569	319.9382738
570	318.940885
571	317.9483456
572	316.9606236
573	315.9776872
574	314.999505
575	314.0260458
576	313.0572786
577	312.0931726
578	311.1336976
579	310.1788232
580	309.2285195
581	308.2827568
582	307.3415056
583	306.4047368
584	305.4724213
585	304.5445304
586	303.6210356
587	302.7019086
588	301.7871215
589	300.8766462
590	299.9704554
591	299.0685215
592	298.1708174
593	297.2773163
594	296.3879913
595	295.5028161
596	294.6217643
597	293.7448097
598	292.8719267
599	292.0030894
600	291.1382724
